hotel_name,hotel_rating,cuisine,price,distance,location
Rockpool,4.8,"Finger Food, European, Goan, Fast Food, Beverages","₹3,000 for two",15.4 km," Vagator, Goa"
Nanbai,3.7,"Continental, Sandwich, Desserts, Coffee, Beverages",₹250 for two,29.2 km," Aquem, Goa"
Rabbit Hole,3.9,"Continental, Middle Eastern, Desserts, Fast Food",₹950 for two,15.3 km," Siolim, Goa"
Just Lobo's,4.3,"Goan, North Indian, Chinese, Continental, Middle Eastern, Biryani, Desserts, Beverages","₹1,800 for two",8.7 km," Calangute, Goa"
Kutumbh,3.9,"Continental, Chinese, Goan, North Indian, Seafood",₹800 for two,304 m," Panaji, Goa"
Aabu's Bar & Cafe,4.2,"North Indian, Continental, Pizza, Burger, Fast Food, Desserts, Shake, Beverages","₹1,300 for two",10.2 km," Baga, Goa"
Guapa,4.4,"Spanish, European, Continental, Seafood, Desserts, Beverages","₹1,400 for two",19.2 km," Morjim, Goa"
Sappadu,4.4,"South Indian, Desserts, Beverages",₹600 for two,12.6 km," Assagao, Goa"
Mike's Place,4.1,"North Indian, Seafood, Chinese","₹1,400 for two",38.2 km," Cavelossim, Goa"
Bloom And Brew,3.9,"Continental, Fast Food, Mexican, Desserts, Cafe, Beverages","₹1,200 for two",11.8 km," Assagao, Goa"
Rangoli Pure Veg  Restaurant,3.5,"North Indian, South Indian, Chinese, Biryani, Fast Food, Street Food, Shake, Beverages",₹400 for two,9.2 km," Calangute, Goa"
Night Appetite,-,"Chinese, Burger, Sandwich, Rolls, Fast Food, Beverages, Shake",₹300 for two,13.6 km," Anjuna, Goa"
Cocktails & Dreams,3.8,"Bar Food, Beverages","₹1,200 for two",58.1 km," Palolem, Goa"
Bo Tai,4.2,"Thai, Japanese, Asian, Pizza, Beverages","₹3,500 for two",14.5 km," Vagator, Goa"
Baozi,4.4,"Asian, Chinese",₹850 for two,13.2 km," Anjuna, Goa"
The Miri,3.6,"Goan, North Indian, Chinese, Fast Food, Desserts, Beverages","₹1,400 for two",2.3 km," Panaji, Goa"
Antonio,4.1,"Goan, Portuguese","₹1,300 for two",398 m," Panaji, Goa"
Gagan's,4.0,"North Indian, Chinese, Salad, Fast Food, Biryani, Thai, Seafood, Desserts",₹700 for two,33.2 km," Varca, Goa"
Pine Tree,3.3,Chinese,₹700 for two,8.1 km," Calangute Beach, Calangute, Goa"
Pedro's Bar And Restaurant,3.9,"Goan, Chinese, Continental, Bar Food, Seafood, North Indian, Mughlai, Desserts",₹950 for two,28.6 km," Benaulim, Goa"
Xero Degrees,New,"Cafe, Coffee, Italian, Salad, Fast Food, Waffle, Shake, Beverages",₹600 for two,1.4 km," Panaji, Goa"
Ciao Bella,4.4,"Italian, Pasta, Pizza, Salad, Desserts","₹1,200 for two",14 km," Assagao, Goa"
Downtown Resto Cafe,3.9,"Fast Food, Chinese, Desserts",₹500 for two,22.7 km," Ponda, Goa"
Sonic,3.8,"Goan, Seafood, BBQ, Continental, Italian, North Indian, Desserts, Beverages","₹1,300 for two",13.4 km," Anjuna Beach, Anjuna, Goa"
Route 66,4.5,"Italian, Continental, American, Burger, Pasta, Salad, Desserts, Beverages","₹1,600 for two",488 m," Panaji, Goa"
Banyan-Tree - Taj Holiday Village Resort & Spa,4.9,Asian,"₹3,500 for two",6.1 km," Taj Holiday Village Resort & Spa, Candolim, Goa"
O'Camotim,3.9,"North Indian, Mughlai, Goan, Seafood","₹1,200 for two",5.3 km," Panaji, Goa"
Tuscany Gardens,4.6,"Continental, Italian, Pizza, Salad, Beverages","₹1,400 for two",6.1 km," Candolim, Goa"
Raki Modern Mezze And More,3.8,"Kebab, Lebanese, Middle Eastern, Egyptian, Turkish","₹1,800 for two",3.3 km," Panaji, Goa"
Shiori - Yakitori Bar,3.9,"Japanese, Sushi","₹2,500 for two",16.2 km," Siolim, Goa"
Food Exchange - Novotel Goa Resort & Spa,4.0,Goan,"₹2,500 for two",6.6 km," Novotel Goa Resorts & Spa, Candolim, Goa"
GROK,4.4,"Modern Indian, Goan, Fast Food","₹2,000 for two",7.5 km," Hyatt Centric, Candolim, Goa"
K.G.N - A1 Khan Fast Food,2.8,"Chinese, North Indian, Sichuan",₹400 for two,27.8 km," Margao, Goa"
Taco Bell,2.4,"Mexican, Fast Food",₹300 for two,3 km," Penha de Franca, Goa"
Spring Onion,4.0,"Chinese, Seafood, Thai, Korean, Sichuan, Oriental, Desserts, Beverages",₹950 for two,7.7 km," Calangute, Goa"
Sea,4.4,"Asian, Seafood, Beverages","₹2,000 for two",11.8 km," Assagao, Goa"
Mallu Republic,4.2,"Kerala, South Indian, Seafood, Mughlai",₹500 for two,1.7 km," Panaji, Goa"
Cuebebar,4.6,"Goan, Continental, Steak, BBQ, Seafood, Desserts","₹1,700 for two",13.4 km," Vagator, Goa"
Happy Soul,3.9,"Healthy Food, Continental, Middle Eastern, South Indian, Salad, Sandwich","₹1,200 for two",11.7 km," Assagao, Goa"
Uncle Tim's,3.9,"Continental, Pasta, Mexican, Steak, Juices, Beverages","₹1,000 for two",4.7 km," Porvorim, Goa"
The Square - Novotel Goa Shrem Hotel,4.1,"North Indian, Continental, Asian, Fast Food, Sandwich, Burger, Desserts, Beverages","₹2,500 for two",7.3 km," Novotel Goa Shrem Hotel, Candolim, Goa"
Spice Traders - W Goa,4.6,"Thai, Chinese, Japanese, Sri Lankan, Vietnamese","₹4,200 for two",15.2 km," W Goa, Vagator, Goa"
Prana Cafe,3.6,"Continental, Healthy Food",₹800 for two,12.1 km," Anjuna, Goa"
Idā - Boutique Bar & Kitchen,4.4,"Portuguese, Goan, North Indian, Beverages","₹1,700 for two",14.3 km," Vagator, Goa"
Kailash Parbat,4.2,"North Indian, Chinese, Maharashtrian, Fast Food, Desserts, Beverages",₹950 for two,7.6 km," Candolim, Goa"
Ritz Classic,4.3,"Goan, Continental, Asian, Japanese, Chinese, Seafood, Desserts, Beverages","₹1,500 for two",29.2 km," Margao, Goa"
Piccola Roma,4.2,"Continental, Italian, Pizza, Goan, Fast Food, Desserts, Coffee, Beverages","₹1,200 for two",14.1 km," Vagator, Goa"
Joecons Beach Shack,4.0,"Continental, Chinese, Goan, Seafood",₹950 for two,29.9 km," Benaulim, Goa"
Casanova,3.9,"Seafood, North Indian, Fast Food",₹800 for two,58 km," Palolem, Goa"
Cafe Sussegado,4.5,"Seafood, North Indian, Goan, Desserts, Continental, Chinese","₹1,100 for two",8.4 km," Calangute, Goa"
Cafe Al Fresco By Cantina Bodega,4.4,"Cafe, American, Fast Food, Beverages",₹950 for two,563 m," Panaji, Goa"
Veggie Delight,4.0,"North Indian, Chinese, Italian, Continental, Street Food, Momos, Beverages",₹850 for two,33.1 km," Varca, Goa"
Curries Bar & Restaurant,3.1,"North Indian, Goan, Chinese, Fast Food, Sandwich, Pizza, Continental, Desserts",₹950 for two,8.3 km," Calangute, Goa"
The Assa House,3.9,French,"₹3,500 for two",12.3 km," Assagao, Goa"
Davide's Pizzeria,4.6,"Pizza, Italian","₹1,400 for two",15.5 km," Siolim, Goa"
Cafe De Port by Radisson Resort Goa Baga,3.7,"North Indian, Continental, Biryani, Mughlai, Pizza, Street Food, Fast Food, Desserts","₹2,000 for two",11 km," Baga, Goa"
Sakana,4.3,"Japanese, Sushi, Rolls, Chinese, Salad, Beverages","₹2,000 for two",14.1 km," Vagator, Goa"
Ceskaz Deli Cafe,3.8,"Cafe, Turkish, Fast Food, Asian, Salad, Beverages",₹700 for two,28.4 km," Margao, Goa"
Spice Studio - Alila Diwa Goa,3.9,"Goan, Seafood, Kerala, Desserts","₹2,500 for two",23.2 km," Alila Diwa, Majorda, Goa"
Masala House,4.2,"North Indian, Tea, Coffee","₹1,900 for two",11.8 km," Assagao, Goa"
Alcove Resorts,4.7,"Continental, North Indian, Goan, Chinese, Sandwich, Finger Food, Beverages","₹1,200 for two",14.7 km," Vagator Beach, Vagator, Goa"
Royal Enfield Garage Cafe,4.6,"Continental, Italian, Fast Food, Beverages, Desserts","₹1,400 for two",11.1 km," Baga, Goa"
Confeitaria 31 De Janeiro,4.0,"Bakery, Desserts, Fast Food",₹500 for two,412 m," Panaji, Goa"
House Of Chapora,-,Goan,"₹1,000 for two",15.4 km," Vagator, Goa"
Fig & Maple,-,"Seafood, Goan, Salad, Continental, Bar Food","₹2,500 for two",12.1 km," Assagao, Goa"
Sabado Field Club And Restaurant,3.9,"Continental, Chinese, Italian, Asian, Pasta, Pizza, Desserts","₹1,800 for two",12.5 km," Anjuna, Goa"
The Rice Mill,4.0,"Cafe, Continental, Goan, Healthy Food, Juices, Beverages, Desserts",₹950 for two,17.9 km," Morjim, Goa"
Mustard Cafe,4.4,"Italian, Seafood, Fast Food, Burger, Desserts","₹1,900 for two",11.6 km," Assagao, Goa"
Moki Bar + Kitchen,4.3,"Continental, Italian, Goan, Spanish, Desserts","₹1,200 for two",5.2 km," Porvorim, Goa"
Soi,4.3,"Goan, Desserts","₹1,800 for two",6 km," Candolim, Goa"
German Bakery Cafe,4.2,"Bakery, Cafe, Continental, Fast Food, Pizza, Beverages, Juices, Desserts",₹600 for two,7.4 km," Candolim, Goa"
Ministry Of Spices By Ramatan Resorts,4.1,"North Indian, Chinese, Goan, Continental, Sandwich, Biryani, Desserts, Beverages","₹1,200 for two",13.3 km," Vagator, Goa"
Riverside,4.3,"European, Italian, American, Desserts","₹3,000 for two",40.2 km," Cavelossim, Goa"
The Burrow Cafe,3.9,"Fast Food, Burger, Pasta, Salad, Beverages",₹500 for two,14.2 km," Siolim, Goa"
Halo Patrao,3.9,"Goan, Street Food, Rolls, Fast Food, Chinese, Sandwich, Beverages",₹350 for two,27.8 km," Margao, Goa"
Joet's Bar And Restaurant,4.3,"North Indian, Chinese, Goan, Seafood",₹950 for two,14.2 km," Bogmalo, Goa"
Frida Cantina,4.2,"Continental, Bar Food, Mexican, Desserts, Beverages","₹2,000 for two",2.3 km," Panaji, Goa"
Fat Panda,4.5,"North Indian, Chinese, Sichuan, Biryani, Desserts, Beverages","₹1,000 for two",6.5 km," Candolim, Goa"
Omerta Kitchen & Bar,3.9,"Goan, North Indian, Continental, Pizza, Pasta","₹1,200 for two",12.1 km," Anjuna, Goa"
Adlem Goi,4.0,"Goan, Oriental, North Indian, Mughlai, Seafood, Desserts","₹1,100 for two",9.3 km," Old Goa, Goa"
Cafe Chai Coffee,4.3,"Cafe, Fast Food, Beverages, Coffee",₹900 for two,12.3 km," Vasco, Goa"
Spice Goa Restaurant,4.6,"Goan, Seafood, North Indian, Chinese, Fast Food, Biryani, Desserts, Beverages","₹1,100 for two",12.5 km," Mapusa, Goa"
Edward's Yard,4.2,"Chinese, Goan, North Indian, Desserts, Bar Food, Sichuan, Seafood",₹700 for two,9.3 km," Bambolim, Goa"
Black Market,4.8,"Continental, Thai, Burger, Fast Food, Desserts","₹2,000 for two",2.1 km," Panaji, Goa"
Larder + Folk,3.9,"Cafe, Bakery, Continental",₹700 for two,1.1 km," Panaji, Goa"
Horse Shoe,4.0,"Goan, Seafood","₹1,200 for two",490 m," Panaji, Goa"
Grind Bar,3.9,"Cafe, Coffee, Fast Food",₹950 for two,12.3 km," Anjuna, Goa"
Hideaway,4.2,"Cafe, Continental, Desserts, Beverages","₹1,100 for two",14.1 km," Vagator, Goa"
Peace Bar - The Park,4.0,"North Indian, Mughlai, Goan, Chinese, Continental, Desserts, Beverages","₹1,900 for two",8.3 km," The Park, Calangute, Goa"
One Calangute Beach Club,3.9,"Goan, North Indian, Continental, Chinese, Seafood, Biryani, Desserts, Beverages","₹1,300 for two",9.3 km," Calangute, Goa"
Leda Balcao,4.4,"Goan, North Indian, Fast Food, Continental","₹1,400 for two",30.2 km," Benaulim, Goa"
Nazaré,4.3,"North Indian, Chinese, Goan, Seafood, Pizza, Salad, Fast Food, Desserts","₹1,600 for two",24.8 km," Betalbatim, Goa"
Morjim Deck,3.8,"Continental, Beverages, Chinese, Goan, North Indian",₹600 for two,17.9 km," Morjim, Goa"
Schandis,4.2,"Iranian, Shawarma, Biryani, Kebab, Desserts, Beverages",₹950 for two,4.6 km," Panaji, Goa"
Cafe Zelo,3.9,"Cafe, Fast Food, Beverages, Desserts",₹600 for two,26.9 km," Margao, Goa"
Guru Bar,4.2,"Goan, Italian, Continental, Thai, Seafood, Chinese","₹1,000 for two",13.2 km," Anjuna Beach, Anjuna, Goa"
Chapter Two,3.8,"North Indian, Mughlai, Street Food, Desserts",₹950 for two,8.9 km," Calangute, Goa"
Tien B&B And Bistro,4.3,"Continental, Sushi, Beverages","₹1,800 for two",14.3 km," Vagator, Goa"
Samarkand,3.9,"Goan, Chinese","₹1,300 for two",4.8 km," Panaji, Goa"
Mexicola - Tequila Bar And Restaurant,4.2,"Mexican, Bar Food","₹1,200 for two",12.8 km," Anjuna, Goa"
Kava,4.0,"Continental, Goan, North Indian, Desserts, Bar Food","₹2,500 for two",11.4 km," Anjuna, Goa"
Isabella's Tapas Bar,4.1,"Portuguese, Spanish, Desserts","₹2,000 for two",588 m," Panaji, Goa"
SinQ Beach,4.0,"North Indian, Goan, Italian, Sandwich, Seafood, Salad, Desserts",₹950 for two,19.4 km," Morjim, Goa"
Guilté,3.9,"Italian, Continental, Desserts, Beverages","₹1,800 for two",12.5 km," Assagao, Goa"
Sake - The Zuri White Sands Resort,3.2,"Chinese, Thai, Asian","₹2,500 for two",32.4 km," The Zuri White Sands  Resort, Salcette, Goa"
Nivaant Multicuisine AC Restaurant & Bar,3.6,"North Indian, Goan, Chinese, Biryani, Kebab, Seafood, Desserts, Beverages",₹950 for two,10.1 km," Old Goa, Goa"
Cafe Bhonsle,3.8,"South Indian, North Indian, Street Food, Beverages",₹400 for two,4 km," Penha de Franca, Goa"
A Reverie,4.5,"European, Continental, Beverages, Desserts","₹3,500 for two",8.2 km," Calangute, Goa"
Diavola,3.9,"Italian, Salad, Sandwich, Pasta, Bar Food, Beverages","₹1,500 for two",12.3 km," Anjuna, Goa"
Vida,-,"Goan, North Indian, Continental, Chinese","₹1,500 for two",28.5 km," Margao, Goa"
The Tibet Cafe,3.8,"Tibetan, Sandwich, Fast Food, Street Food, Goan, Juices, Shake, Beverages",₹400 for two,19 km," Morjim, Goa"
Mon Petit Frère Café,4.4,"Sandwich, Fast Food",₹400 for two,26.6 km," Colva, Goa"
Soul Curry - Multi Cuisine Restaurant,4.5,"Goan, North Indian, Chinese, Biryani, Desserts, Beverages","₹1,100 for two",11.6 km," Mapusa, Goa"
Viva Panjim,4.6,"Goan, Continental, Chinese, Seafood, North Indian, Steak, Desserts, Beverages","₹1,200 for two",457 m," Panaji, Goa"
The Temptation Anjuna 24x7,-,"Bakery, Desserts, Fast Food, Beverages",₹400 for two,12.1 km," Anjuna, Goa"
The Curry House,3.4,"North Indian, Mughlai, Seafood, Goan, Continental, Chinese, Fast Food, Beverages","₹1,100 for two",6.2 km," Candolim, Goa"
St. Anthony's,4.1,"Goan, North Indian, Kebab, Oriental, Italian, Seafood, Desserts, Beverages","₹1,200 for two",10.9 km," Baga, Goa"
Cajy's Multicuisine Restaurant & Bar,3.9,"Goan, Chinese, Seafood, North Indian, Beverages, Sichuan","₹1,500 for two",21.3 km," Majorda, Goa"
Caava Courtyard,4.1,"North Indian, Italian, Asian, European, Continental","₹1,200 for two",13.2 km," Anjuna, Goa"
Patil Misal,3.7,"Street Food, Maharashtrian",₹200 for two,3.3 km," Porvorim, Goa"
Beyond Dosa,4.5,"South Indian, Desserts, Beverages, Shake",₹650 for two,13 km," Anjuna, Goa"
Mum's Kitchen,4.4,"Goan, Seafood, Salad, Desserts","₹2,000 for two",2.1 km," Panaji, Goa"
Mother Recipes,3.9,"North Indian, Goan",₹300 for two,29.4 km," Benaulim, Goa"
Kokum Kitchen - Taj Fort Aguada Resort & Spa,4.3,"Seafood, Goan, Continental","₹2,500 for two",6.4 km," Taj Fort Aguada Resort & Spa, Candolim, Goa"
The Pier Seaside Bistro,3.9,"North Indian, Goan, Continental, Fast Food, Salad, Beverages",₹850 for two,10.4 km," Vasco, Goa"
Cozinha De Paparico Cafe,3.9,"Cafe, Fast Food",₹350 for two,22.6 km," Majorda, Goa"
7 Short 1 Long Restaurant,4.2,"Cafe, Goan, Fast Food",₹850 for two,11.5 km," Moira, Goa"
Antique Mardol Ponje,3.9,"Goan, North Indian, Continental, Biryani, Kebab, Chinese, Desserts, Beverages","₹1,200 for two",854 m," Panaji, Goa"
Harbour Cafe - The Crown,4.3,"North Indian, Goan, Seafood, Continental, Healthy Food, Oriental, Chinese, Biryani","₹1,700 for two",347 m," Panaji, Goa"
Crazy Crabs,4.3,"Goan, Chinese, North Indian, Fast Food, Street Food, Mughlai, Ice Cream, Beverages",₹950 for two,9.6 km," Baga, Goa"
Latitude - Vivanta Goa,4.3,"North Indian, Goan, Asian","₹2,500 for two",952 m," Vivanta Goa, Panaji, Goa"
O Coqueiro,4.3,"Goan, North Indian, Asian, Finger Food","₹1,200 for two",3.7 km," Porvorim, Goa"
Pavilion At the Village Square - ITC Grand Goa Resort & Spa,3.8,"North Indian, Italian, Goan, Asian, South Indian, Salad, Desserts, Beverages","₹3,000 for two",20.6 km," ITC Grand Goa Resort & Spa, Majorda, Goa"
Andrew's Beach Cafe,3.9,"Goan, Continental, North Indian, Chinese, Seafood, Pizza, Fast Food, Beverages",₹900 for two,10.5 km," Baga Beach, Baga, Goa"
Dakté,3.9,"Cafe, Salad, Continental, Sandwich, Desserts, Beverages, Shake, Coffee",₹950 for two,15.9 km," Siolim, Goa"
Morgan’s Place,4.4,"Italian, Pizza, Continental, Beverages","₹1,100 for two",5.3 km," Penha de Franca, Goa"
Mr Busquo,3.9,"Fast Food, Desserts, Beverages",₹400 for two,27.3 km," Margao, Goa"
Poseidon's Cove - Planet Hollywood,4.1,"Continental, Seafood, Sushi, Goan, Thai, Fast Food","₹1,800 for two",21.6 km," Majorda, Goa"
Kuttikar Bar And Restaurant,4.1,"Seafood, Goan, Finger Food, Beverages",₹950 for two,6.8 km," Old Goa, Goa"
Lemon Chilli,3.9,Continental,₹850 for two,3.5 km," Porvorim, Goa"
Sandbanks,4.2,"North Indian, Pizza, Pasta, Chinese, Italian, Goan, Desserts","₹1,200 for two",24.9 km," Arambol, Goa"
The Mill,4.9,"Cafe, Healthy Food, Salad, Continental, Wraps, Beverages, Shake",₹700 for two,58.3 km," Palolem, Goa"
Joseph Bar,4.3,"Bar Food, Goan","₹1,000 for two",409 m," Panaji, Goa"
Goenchin,4.6,"Chinese, Asian, Thai, Oriental, Seafood, Desserts, Beverages","₹1,600 for two",270 m," Panaji, Goa"
Village 36,3.9,"Chinese, Thai, Asian, Salad","₹1,400 for two",11.9 km," Assagao, Goa"
Chef. Soumyens Kitchenn,4.4,"Continental, Seafood, Desserts, Beverages","₹1,600 for two",7.5 km," Calangute, Goa"
Salt & Pepper,4.5,"Burger, Fast Food, Desserts, Juices, Beverages",₹700 for two,14.3 km," Vagator, Goa"
Claudi's Corner,4.1,"Goan, Chinese, Seafood, North Indian",₹950 for two,14.2 km," Bogmalo, Goa"
The Farmhouse Bar & Bistro,4.1,"Continental, Goan, Seafood, Steak, Pasta, Salad, Finger Food","₹1,800 for two",31 km," Benaulim, Goa"
Upper Deck - Radisson Blu Resort,4.2,"Goan, Seafood, North Indian, Asian, Continental, Pasta, Desserts, Beverages","₹2,700 for two",38.2 km," Radisson Blu Resort, Salcette, Goa"
Big Fish,4.1,"Chinese, Seafood, North Indian, Goan",₹700 for two,13.6 km," Assagao, Goa"
Charcoal Chicken,3.4,"Arabian, Chinese, Lebanese, North Indian, Biryani, Sichuan",₹500 for two,3.1 km," Porvorim, Goa"
Maya Nightclub,-,Bar Food,"₹4,000 for two",10.2 km," Baga, Goa"
Chicago Pizza,-,"Pizza, Pasta, Fast Food, Beverages",₹400 for two,13.3 km," Anjuna, Goa"
La Pino'z Pizza,3.3,"Pizza, Italian, Pasta, Fast Food",₹300 for two,8.2 km," Calangute, Goa"
La Selle,3.9,"Continental, Italian, Sandwich, Burger","₹2,000 for two",27.2 km," Margao, Goa"
Bakery Pausenbrot,3.6,"Bakery, Fast Food, Coffee, Beverages",₹450 for two,28.9 km," Benaulim, Goa"
Spicy Family Restaurant & Bar,4.2,"Goan, North Indian, Chinese, Asian, Seafood, Fast Food","₹1,600 for two",29.2 km," Margao, Goa"
Fish Tail Bar And Restaurant,4.4,"Italian, American, Seafood, North Indian, Salad, Goan, Desserts, Beverages","₹1,200 for two",14.8 km," Vagator Beach, Vagator, Goa"
Durigo,3.9,"Seafood, Goan, Chinese",₹400 for two,27.2 km," Colva, Goa"
Trails Of Taste - TOTGOA,3.9,"Andhra, South Indian, Biryani, Desserts",₹600 for two,12.8 km," Anjuna, Goa"
Burger Bar & Bakery,4.0,"Fast Food, Italian, Goan, Continental, BBQ, Beverages",₹500 for two,16 km," Siolim, Goa"
Cafe Candolim,4.4,"Cafe, Continental, Fast Food, Sandwich, Beverages, Desserts",₹700 for two,6.3 km," Candolim, Goa"
Oppa's Restaurant,3.9,Continental,"₹1,000 for two",14.9 km," Vagator, Goa"
Infantaria,3.9,"Goan, North Indian, Continental, Italian, Seafood, Chinese, Desserts, Beverages",₹950 for two,9 km," Calangute, Goa"
The Curry Multicuisine Family Restro-Bar,4.1,"Finger Food, Chinese, North Indian, Biryani, Seafood, Goan, Beverages","₹1,200 for two",1.1 km," Panaji, Goa"
Comida-Double Tree by Hilton Goa,4.4,"North Indian, Asian, Italian, Mediterranean, Desserts","₹3,500 for two",6 km," Panaji, Goa"
Danka,-,Street Food,₹200 for two,14.4 km," Vagator, Goa"
Little Banana Goan Restaurant,3.9,"Goan, Chinese",₹400 for two,27.8 km," Benaulim, Goa"
Bistro Bohemiaa,3.9,"Sandwich, Burger, Continental, North Indian, Oriental, Italian, Beverages","₹1,000 for two",14.8 km," Vagator, Goa"
Krishna Multi-Cuisine Veg Restaurant,4.0,"North Indian, South Indian, Chinese, Fast Food",₹400 for two,28.6 km," Margao, Goa"
Hot Wok,3.9,"Chinese, Momos, Sichuan, Asian",₹500 for two,12.4 km," Bogmalo, Goa"
Highway Kitchen,3.3,"North Indian, Mughlai, Chinese, Street Food, Desserts, Biryani, Sichuan",₹400 for two,12.6 km," Bogmalo, Goa"
Morisco - Taj Fort Aguada Resort & Spa,4.2,"Seafood, Goan","₹4,000 for two",6.4 km," Taj Fort Aguada Resort & Spa, Candolim, Goa"
Cafe South Cartel,3.9,"Continental, North Indian",₹550 for two,29 km," Benaulim, Goa"
Cafe South Cartel,3.9,"Continental, North Indian",₹550 for two,29 km," Benaulim, Goa"
KAHVI Cafe & Bistro,3.9,Cafe,₹600 for two,7.6 km," Bardez, Goa"
Soul Curry,3.9,"North Indian, Chinese, Goan, Biryani, Desserts","₹1,200 for two",949 m," Panaji, Goa"
Zeebop,4.0,"Chinese, Goan, Continental, Desserts, Beverages",₹750 for two,21.2 km," Majorda, Goa"
Kalika Bar And Restaurant,4.1,"North Indian, Chinese, Goan",₹500 for two,28.7 km," Margao, Goa"
Tattwa,4.5,"North Indian, Mughlai, Fast Food, Chinese, Continental, Goan, Beverages, Desserts","₹1,200 for two",58.5 km," Palolem, Goa"
Milagro,-,"Italian, Continental, Pizza, Desserts, Coffee, Beverages","₹2,400 for two",14.7 km," Vagator, Goa"
German Bakery,3.9,"Bakery, North Indian, Fast Food, Chinese, Street Food, Steak, Italian, Biryani",₹400 for two,58.5 km," Palolem, Goa"
Carlito's By The Sea,4.0,Goan,₹600 for two,3 km," Nerul, Goa"
Tamil Nadu Home Food,3.4,"South Indian, Chinese, Mughlai, North Indian, Seafood, Tamil",₹400 for two,9.1 km," Calangute, Goa"
Gratitude,4.4,"Healthy Food, Continental, Fast Food, Desserts, Beverages","₹1,200 for two",12.1 km," Anjuna, Goa"
Tamari - Vivanta Goa,4.2,"Asian, Thai, Japanese, Desserts","₹2,500 for two",970 m," Vivanta Goa, Panaji, Goa"
Lobster Shack - Taj Exotica,3.7,"Seafood, North Indian","₹2,500 for two",30.2 km," Taj Exotica, Benaulim, Goa"
Krishna Bar & Restaurant,3.8,"North Indian, Kebab, Chinese, Biryani, Goan, Mughlai, Sichuan, Beverages",₹600 for two,9 km," Calangute, Goa"
Cafe Gypsy Baba,4.1,"North Indian, Chinese, Rolls, Seafood, Mughlai, Beverages","₹1,200 for two",3.7 km," Candolim, Goa"
Delhi's Darbar,3.9,"Chinese, North Indian, Goan, Biryani, Fast Food, Desserts, Beverages",₹950 for two,9.4 km," Calangute, Goa"
Surboos - The resto bar,New,"North Indian, Goan, Continental, Asian","₹1,200 for two",1.5 km," Panaji, Goa"
Bombay Adda,3.8,"Continental, Seafood, Pizza","₹1,400 for two",6.5 km," Candolim, Goa"
The Boho Box,3.9,"Continental, Sandwich, Pasta, Fast Food, Desserts",₹600 for two,11.1 km," Baga, Goa"
Cafe Mambos,4.1,"Seafood, Pizza, North Indian, Chinese, Goan, Finger Food, Beverages","₹2,000 for two",10.3 km," Baga, Goa"
The Temptation - 24 Hour Complete Food Shop,3.7,"Bakery, Desserts, Shake",₹300 for two,11.5 km," Vasco, Goa"
Pahadi Beach,4.2,"North Indian, Seafood, Fast Food, Bengali, Assamese, Goan, Mangalorean",₹950 for two,12.5 km," Anjuna, Goa"
Dandey's Grill House,4.4,"BBQ, Seafood, Steak, Continental, Pasta, Asian, North Indian, Beverages","₹1,000 for two",5.2 km," Porvorim, Goa"
Artisan - Resort & Cafe,3.9,"Cafe, Coffee, North Indian, Continental, Sandwich, Fast Food, Desserts, Beverages",₹600 for two,17.9 km," Morjim, Goa"
Bhatti Village Family Restaurant & Bar,4.5,"Goan, Seafood, Desserts",₹600 for two,4.7 km," Nerul, Goa"
Joe's River Cove,4.0,"North Indian, Goan, Chinese","₹1,200 for two",38 km," Cavelossim, Goa"
Waterfront Terrace & Bar -  Goa Marriott Resort And Spa,4.2,"North Indian, Asian, Italian, Continental, Goan, Seafood, Beverages, Desserts","₹3,500 for two",2.4 km," Goa Marriott Resort & Spa, Panaji, Goa"
Bobby's Fat Fish,-,"Goan, Salad, Fast Food, North Indian, Kebab, Seafood, Continental, Desserts","₹1,500 for two",13.4 km," Anjuna, Goa"
Suha,3.8,North Indian,"₹1,200 for two",13.3 km," Anjuna, Goa"
Three Kisses,4.5,"Finger Food, Seafood, Pancake, Steak, Pasta, North Indian, Shake, Beverages",₹950 for two,30 km," Benaulim, Goa"
Susegado,4.1,"Seafood, Italian, Continental","₹4,000 for two",40.2 km," Cavelossim, Goa"
MELT Pizzabar,4.5,"Italian, Pizza, Pasta","₹1,700 for two",13.2 km," Anjuna, Goa"
Star Light,4.2,"Goan, North Indian, Chinese, Seafood, Salad, Biryani",₹850 for two,10 km," Baga, Goa"
Delhi Darbar - Original Branch,4.4,"Chinese, Mughlai, North Indian, Goan, Seafood, Biryani, Ice Cream, Beverages","₹1,800 for two",8.7 km," Calangute, Goa"
F Fish,3.7,"Seafood, Beverages",₹400 for two,11.2 km," Baga, Goa"
Tanoj Food Corner,3.7,"North Indian, Beverages",₹400 for two,10.9 km," Baga, Goa"
Okapi Vegan Kitchen,New,"Sandwich, Fast Food, Salad, Beverages",₹550 for two,12.4 km," Moira, Goa"
Olio's,-,"North Indian, Chinese, Desserts, Beverages",₹800 for two,28.8 km," Benaulim, Goa"
Mrs Morgan,3.9,"South Indian, Goan",₹400 for two,12.4 km," Anjuna, Goa"
Qi - Pan Asian,3.9,"Momos, Asian",₹400 for two,3.2 km," Panaji, Goa"
Barbeque Nation,4.4,"North Indian, BBQ, Biryani, Kebab, Beverages, Desserts","₹1,700 for two",1.8 km," Caculo Mall, Panaji , Goa"
Amavi,4.6,"Continental, Desserts, Thai, Seafood, Italian, Beverages","₹2,500 for two",7.6 km," Calangute, Goa"
